Unnamed: 0,Country,2019_Rank,2019_Score,country_code_x,2019_income_group,2019_total_gdp_million,2019_porcentaje,2020_Rank,2020_Score,2020_income_group,2020_total_gdp_million,2020_porcentaje,2021_Rank,2021_Score,2021_income_group,2021_total_gdp_million,2021_porcentaje,2022_Rank,2022_Score,2022_income_group,2022_total_gdp_million,2022_porcentaje,2023_Rank,2023_Score,2023_income_group,2023_total_gdp_million,2023_porcentaje,2024_Rank,2024_Score,country_code_y,country_code
152,Suriname,20.0,83.62,SUR,Ingreso Mediano Alto,4016.04057508796,0.0,20.0,82.5,Ingreso Mediano Alto,2911.80749620227,0.0,19.0,83.05,Ingreso Mediano Alto,3107.92319796954,0.0,52.0,68.95,Ingreso Mediano Alto,3791.6032000259,0.0,48.0,70.62,Ingreso Mediano Alto,3455.14628083975,0.0,28.0,76.11,SUR,SUR
153,Sweden,3.0,91.69,SWE,Ingreso Alto,532169.29416594,0.25,4.0,90.75,Ingreso Alto,545147.614972141,0.26,3.0,92.76,Ingreso Alto,637186.904843636,0.27,3.0,88.84,Ingreso Alto,579895.717343956,0.22,4.0,88.15,Ingreso Alto,584960.4757673199,0.21,3.0,88.32,SWE,SWE
154,Switzerland,6.0,89.48,CHE,Ingreso Alto,721369.112726724,0.33,8.0,89.38,Ingreso Alto,741999.406005627,0.35,10.0,89.45,Ingreso Alto,813408.787222499,0.34,14.0,82.72,Ingreso Alto,818426.5502064499,0.31,12.0,84.4,Ingreso Alto,884940.4022304091,0.32,9.0,84.01,CHE,CHE
155,Syria,174.0,28.22,,,,,174.0,27.43,,,,173.0,29.37,,,,171.0,28.94,,,,175.0,27.22,,,,179.0,17.41,,
156,Taiwan,42.0,75.02,,,,,43.0,76.24,,,,43.0,76.14,,,,38.0,74.08,,,,35.0,75.54,,,,27.0,76.13,,
157,Tajikistan,161.0,45.98,TJK,Países De Ingreso Mediano Bajo,8300.8135993084,0.0,161.0,44.66,Países De Ingreso Mediano Bajo,8133.9635506574205,0.0,162.0,44.48,Países De Ingreso Mediano Bajo,8937.805347139629,0.0,152.0,40.26,Países De Ingreso Mediano Bajo,10713.5252003998,0.0,153.0,39.06,Países De Ingreso Mediano Bajo,12060.6020088478,0.0,155.0,33.31,TJK,TJK
158,Tanzania,118.0,63.72,,,,,124.0,59.75,,,,124.0,59.31,,,,123.0,48.28,,,,143.0,44.02,,,,97.0,54.8,,
159,Thailand,136.0,55.9,THA,Ingreso Mediano Alto,543976.691793886,0.25,140.0,55.06,Ingreso Mediano Alto,500461.898480246,0.23,137.0,54.78,Ingreso Mediano Alto,506256.4942973401,0.21,115.0,50.15,Ingreso Mediano Alto,495645.21097275097,0.19,106.0,55.24,Ingreso Mediano Alto,514968.699239005,0.19,87.0,58.12,THA,THA
160,Timor-Leste,84.0,70.07,TLS,Países De Ingreso Mediano Bajo,2032.5504,0.0,78.0,70.1,Países De Ingreso Mediano Bajo,2162.6192,0.0,71.0,70.89,Países De Ingreso Mediano Bajo,3624.8897,0.0,17.0,81.89,Países De Ingreso Mediano Bajo,3208.594,0.0,10.0,84.49,Países De Ingreso Mediano Bajo,2079.9169,0.0,20.0,78.92,TLS,TLS
161,Togo,76.0,70.31,TGO,Países De Ingreso Bajo,6992.70010137188,0.0,71.0,70.67,Países De Ingreso Bajo,7400.28416778479,0.0,74.0,70.41,Países De Ingreso Bajo,8342.24364594438,0.0,100.0,57.17,Países De Ingreso Bajo,8169.47614895692,0.0,70.0,63.06,Países De Ingreso Bajo,9171.26183757103,0.0,113.0,50.89,TGO,TGO
162,Tonga,45.0,74.59,TON,Ingreso Mediano Alto,494.197841113077,0.0,50.0,72.73,Ingreso Mediano Alto,496.85629576752,0.0,46.0,75.41,Ingreso Mediano Alto,518.22801209129,0.0,49.0,69.74,Ingreso Mediano Alto,518.180042241509,0.0,44.0,71.29,Ingreso Mediano Alto,0.0,0.0,45.0,70.11,TON,TON
163,Trinidad and Tobago,39.0,75.26,,,,,36.0,76.78,,,,31.0,78.45,,,,25.0,78.68,,,,30.0,76.54,,,,25.0,76.69,,
164,Tunisia,72.0,70.39,TUN,Países De Ingreso Mediano Bajo,41905.642418825,0.02,72.0,70.55,Países De Ingreso Mediano Bajo,42491.780918361,0.02,73.0,70.47,Países De Ingreso Mediano Bajo,46812.290143344,0.02,94.0,58.49,Países De Ingreso Mediano Bajo,44579.7610228993,0.02,121.0,50.11,Países De Ingreso Mediano Bajo,48529.5954166533,0.02,118.0,49.97,TUN,TUN
165,Turkey,157.0,47.19,TUR,Ingreso Mediano Alto,761005.9157509251,0.35,154.0,49.98,Ingreso Mediano Alto,720338.490327248,0.34,153.0,50.21,Ingreso Mediano Alto,819865.223976115,0.35,149.0,41.25,Ingreso Mediano Alto,907118.434653505,0.35,165.0,33.97,Ingreso Mediano Alto,1118252.96426077,0.4,158.0,31.6,TUR,TUR
166,Turkmenistan,180.0,14.56,TKM,Ingreso Mediano Alto,45232.8571428571,0.02,179.0,14.56,Ingreso Mediano Alto,45818.0,0.02,178.0,19.97,Ingreso Mediano Alto,50007.428571428594,0.02,177.0,25.01,Ingreso Mediano Alto,58972.0,0.02,176.0,25.82,Ingreso Mediano Alto,60628.8571428571,0.02,175.0,22.01,TKM,TKM
167,Uganda,125.0,60.58,UGA,Países De Ingreso Bajo,35348.1550954215,0.02,125.0,59.05,Países De Ingreso Bajo,37600.3682416657,0.02,125.0,58.81,Países De Ingreso Bajo,40529.7887486737,0.02,132.0,46.35,Países De Ingreso Bajo,45565.3332109108,0.02,133.0,46.08,Países De Ingreso Bajo,48768.9558633175,0.02,128.0,46.0,UGA,UGA
168,Ukraine,102.0,67.54,UKR,Ingreso Mediano Alto,153883.047509577,0.07,96.0,67.48,Ingreso Mediano Alto,156617.72201334202,0.07,97.0,67.04,Ingreso Mediano Alto,199765.859570935,0.08,106.0,55.76,Ingreso Mediano Alto,161989.52072119,0.06,79.0,61.19,Ingreso Mediano Alto,178757.021965008,0.06,61.0,65.0,UKR,UKR
169,United Arab Emirates,133.0,56.37,ARE,Ingreso Alto,417989.721734494,0.19,131.0,57.31,Ingreso Alto,349473.015336939,0.16,131.0,56.87,Ingreso Alto,415178.792769884,0.18,138.0,44.46,Ingreso Alto,502731.935197487,0.19,145.0,42.99,Ingreso Alto,514130.432653081,0.19,160.0,30.62,ARE,ARE
170,United Kingdom,33.0,77.77,,,,,35.0,77.07,,,,33.0,78.41,,,,24.0,78.71,,,,26.0,78.51,,,,23.0,77.51,,
171,United States,48.0,74.31,,,,,45.0,76.15,,,,44.0,76.07,,,,42.0,72.74,,,,45.0,71.22,,,,55.0,66.59,,
172,Uruguay,19.0,83.94,URY,Ingreso Alto,62222.3258070578,0.03,19.0,84.21,Ingreso Alto,53668.6365678667,0.03,18.0,83.62,Ingreso Alto,60760.7985955436,0.03,44.0,72.03,Ingreso Alto,70164.6832903776,0.03,52.0,70.33,Ingreso Alto,77240.8308774597,0.03,51.0,67.7,URY,URY
173,Uzbekistan,160.0,46.48,UZB,Países De Ingreso Mediano Bajo,67293.6397983996,0.03,156.0,46.93,Países De Ingreso Mediano Bajo,66443.2654183086,0.03,157.0,49.26,Países De Ingreso Mediano Bajo,77340.0600030347,0.03,133.0,46.35,Países De Ingreso Mediano Bajo,90095.9265674359,0.03,137.0,45.73,Países De Ingreso Mediano Bajo,101591.769702343,0.04,148.0,37.27,UZB,UZB
174,Venezuela,148.0,50.9,,,,,147.0,54.34,,,,148.0,52.4,,,,159.0,37.78,,,,159.0,36.99,,,,156.0,33.06,,
175,Vietnam,176.0,25.07,,,,,175.0,25.29,,,,175.0,21.54,,,,174.0,26.11,,,,178.0,24.58,,,,174.0,22.31,,
176,Yemen,168.0,38.34,YEM,Países De Ingreso Bajo,0.0,0.0,167.0,41.75,Países De Ingreso Bajo,0.0,0.0,169.0,37.65,Países De Ingreso Bajo,0.0,0.0,169.0,29.14,Países De Ingreso Bajo,0.0,0.0,168.0,32.78,Países De Ingreso Bajo,0.0,0.0,154.0,33.67,YEM,YEM
177,Zambia,119.0,63.62,ZMB,Países De Ingreso Mediano Bajo,23308.6677812258,0.01,120.0,63.0,Países De Ingreso Mediano Bajo,18137.764930651,0.01,115.0,61.79,Países De Ingreso Mediano Bajo,22096.4169320089,0.01,109.0,55.4,Países De Ingreso Mediano Bajo,29163.7821404858,0.01,87.0,59.41,Países De Ingreso Mediano Bajo,27577.956471244,0.01,95.0,55.38,ZMB,ZMB
178,Zimbabwe,127.0,57.77,ZWE,Países De Ingreso Mediano Bajo,25717.409842447894,0.01,126.0,59.05,Países De Ingreso Mediano Bajo,26867.9364446826,0.01,130.0,56.88,Países De Ingreso Mediano Bajo,27240.515108804902,0.01,137.0,44.94,Países De Ingreso Mediano Bajo,32789.7517363323,0.01,126.0,48.17,Países De Ingreso Mediano Bajo,35231.3678858554,0.01,116.0,50.31,ZWE,ZWE
